Week Ending Date,Lotto,Instant,Pulltab
4/07/2015,1477969,3829822,278080
11/07/2015,1459132,3425039,292275
18/07/2015,1515182,3963434,313403
25/07/2015,1454695,3792073,273735
1/08/2015,1495088,4632792,302424
8/08/2015,1341382,3723244,294949
15/08/2015,1373318,3718460,292774
22/08/2015,1434752,4366377,257985
29/08/2015,1581316,4539153,284713
5/09/2015,1683879,3586720,278674
12/09/2015,1716200,3588554,286793
19/09/2015,1849677,4106904,325181
26/09/2015,2294686,4159617,287678
3/10/2015,2238026,3577988,311348
10/10/2015,1515361,3597425,209925
17/10/2015,1500783,3578335,324125
24/10/2015,1607188,3128323,301995
31/10/2015,1720775,6108749,283343
7/11/2015,1726503,3706103,299474
14/11/2015,1704357,3794390,204657
21/11/2015,1379226,5515307,418082
28/11/2015,1452975,4135206,148990
5/12/2015,1630160,3968194,357047
12/12/2015,1787604,4271919,286200
19/12/2015,2057617,4674324,442171
26/12/2015,2220301,4162777,224775
2/01/2016,2984907,4558270,203175
9/01/2016,13662338,5527055,263158
16/01/2016,13394979,3402833,376686
23/01/2016,1629886,3527190,264299
30/01/2016,1742314,6851486,312917
6/02/2016,1748604,4365079,209520
13/02/2016,1798891,4302894,312552
20/02/2016,1928938,6111020,282150
27/02/2016,2187791,5089975,291690
5/03/2016,2020541,4443948,309993
12/03/2016,1622014,4758833,276376
19/03/2016,1513968,5213724,342569
26/03/2016,1576110,4808020,309747
2/04/2016,1683791,5898701,280022
9/04/2016,1727587,5228010,324540
16/04/2016,1820971,4828741,301804
23/04/2016,1981894,5152015,262450
30/04/2016,2327079,5391984,309111
7/05/2016,3812791,4592006,249310
14/05/2016,1625748,4337075,341757
21/05/2016,1640075,4915916,183774
28/05/2016,1733616,5455357,368810
4/06/2016,1789199,4415300,224910
11/06/2016,1906030,3872532,263706
18/06/2016,2076818,4888398,315444
25/06/2016,2305548,3775646,248576
2/07/2016,2814339,4576079,237923
9/07/2016,3767113,3830380,207528
16/07/2016,2329690,3782621,298788
23/07/2016,2559528,5287869,267883
30/07/2016,3765093,3657109,237972
6/08/2016,1548072,3651828,270810
13/08/2016,1544742,4666329,279180
20/08/2016,1608579,3758792,273780
27/08/2016,1652252,4563789,257631
3/09/2016,1721695,3673689,207170
10/09/2016,1818790,3838832,246838
17/09/2016,1993175,4331167,277498
24/09/2016,1431017,4747945,248036
1/10/2016,1448499,3616434,249936
8/10/2016,1513749,3552626,235245
15/10/2016,1557526,4054955,269510
22/10/2016,1593323,3343044,255431
29/10/2016,1648842,6127547,271631
5/11/2016,1788943,3908234,197651
12/11/2016,1871345,4070637,261048
19/11/2016,2083600,5587935,279381
26/11/2016,2626384,4357731,163215
3/12/2016,1426891,4210398,247518
10/12/2016,1431315,4365170,239824
17/12/2016,1480044,4590496,212760
24/12/2016,1505908,4450904,251258
31/12/2016,1495708,4563702,186165
7/01/2017,1495992,5111640,142446
14/01/2017,1678036,3603454,314461
21/01/2017,1652889,3918679,168980
28/01/2017,1717364,6432845,237558
4/02/2017,1807592,4310531,221795
11/02/2017,2045303,4248581,185016
18/02/2017,2460671,5755222,143404
25/02/2017,2694846,4392579,110805
4/03/2017,1576321,5096278,128711
11/03/2017,1650148,4628458,113620
18/03/2017,1722472,4562378,209617
25/03/2017,1681258,5466455,178097
1/04/2017,1602763,6074375,185509
8/04/2017,1438373,4996305,183085
15/04/2017,1458838,4677052,198180
22/04/2017,1503132,5315534,218430
29/04/2017,1606327,5342079,185535
6/05/2017,1647967,4769078,225842
13/05/2017,1667210,4432218,119205
20/05/2017,1844312,5158513,270252
27/05/2017,2121202,5564933,197910
3/06/2017,2342390,4313839,170235
10/06/2017,3419129,4442695,187640
17/06/2017,1488940,4957928,197352
24/06/2017,1541704,4233615,168210
1/07/2017,1648584,4693854,218909
8/07/2017,1654020,4069050,113615
15/07/2017,1754410,3839843,231172
22/07/2017,1826460,4906122,196623
29/07/2017,1969502,4584827,184275
5/08/2017,2393899,4006847,235670
12/08/2017,3621314,3989847,187510
19/08/2017,5109062,4433239,193185
26/08/2017,5920656,3927531,243032
2/09/2017,1507876,4508027,159535
9/09/2017,1557544,3963157,187245
16/09/2017,1621516,3866873,187515
23/09/2017,1496364,5697883,166185
30/09/2017,1441213,3801911,201277
7/10/2017,1521433,3792936,136111
14/10/2017,1585507,4163803,206415
21/10/2017,1593326,3317275,199260
28/10/2017,1512122,6222258,166590
4/11/2017,1369402,4056632,240705
11/11/2017,1390317,4138593,162984
18/11/2017,1549075,5601800,240570
25/11/2017,1538469,3905830,120187
2/12/2017,1655824,4673189,224837
9/12/2017,1732128,4554290,194163
16/12/2017,2027418,4382312,168210
23/12/2017,2668042,5437033,291735
30/12/2017,2989821,4589358,150150
6/01/2018,5807381,5252078,114075
13/01/2018,1448614,4041543,229280
20/01/2018,1477223,3976313,177271
27/01/2018,1544632,6558756,185895
3/02/2018,1677419,4687578,188572
10/02/2018,1609902,4417931,174825
17/02/2018,1780598,5671052,184410
24/02/2018,1825432,4484306,214380
3/03/2018,2301149,5128607,185085
10/03/2018,2361575,4904437,188190
17/03/2018,3036842,4885355,259740
24/03/2018,2008197,5723366,219240
31/03/2018,2797064,6376961,187977
7/04/2018,1495246,5491541,176452
14/04/2018,1554867,4969467,177255
21/04/2018,1627622,5347278,630855
28/04/2018,1658654,5543294,270416
5/05/2018,2079837,5167980,287145
12/05/2018,1915746,4588997,211950
19/05/2018,1924006,4942194,267300
26/05/2018,1612945,4459901,280503
2/06/2018,1425287,4873618,189091
9/06/2018,1522427,4287919,184626
16/06/2018,1595771,4301203,289035
23/06/2018,1559304,4563353,221492
30/06/2018,1550224,4791427,233550
7/07/2018,1930176,3733454,272700
14/07/2018,1626106,4572766,122310
21/07/2018,1625228,4555086,276480
28/07/2018,1449684,4631593,240246
4/08/2018,1714025,3889064,223425
11/08/2018,1724786,4854769,186975
18/08/2018,1402474,3980021,241110
25/08/2018,2208988,4875780,202963
1/09/2018,2255217,4185147,146454
8/09/2018,1654939,3984678,199112
15/09/2018,1554872,3905609,173671
22/09/2018,1819357,4495863,221305
29/09/2018,1497395,4013184,222210
6/10/2018,2345259,3874390,145550
13/10/2018,3135227,3681804,245658
20/10/2018,9605795,4346330,136080
27/10/2018,10020671,6664058,246240
3/11/2018,1556821,4671462,212131
10/11/2018,1537999,4113183,207449
17/11/2018,1591478,5823140,197166
24/11/2018,1640018,4223644,172935
1/12/2018,1606769,4805736,251182
8/12/2018,1763530,4394024,181710
15/12/2018,1808427,4570477,231390
22/12/2018,1972128,5408913,254070
29/12/2018,2250441,5291834,159840
